parent,child
metallic_element.n.01,bismuth.n.01
chemical_element.n.01,metallic_element.n.01
chemical_element.n.01,oxygen.n.01
chemical_element.n.01,nitrogen.n.01
chemical_element.n.01,neon.n.01
chemical_element.n.01,noble_gas.n.01
chemical_element.n.01,hydrogen.n.01
chemical_element.n.01,helium.n.01
chemical_element.n.01,germanium.n.01
chemical_element.n.01,carbon.n.01
substance.n.01,chemical_element.n.01
substance.n.01,material.n.01
matter.n.03,substance.n.01
matter.n.03,fluid.n.02
matter.n.03,substance.n.07
matter.n.03,solid.n.01
part.n.01,substance.n.01
invaluableness.n.01,gold.n.05
value.n.02,invaluableness.n.01
value.n.02,importance.n.01
worth.n.02,value.n.02
money.n.01,fund.n.01
medium_of_exchange.n.01,money.n.01
medium_of_exchange.n.01,currency.n.01
standard.n.01,medium_of_exchange.n.01
system_of_measurement.n.01,standard.n.01
license.n.04,dispensation.n.01
license.n.04,allowance.n.06
authorization.n.04,license.n.04
management.n.01,authorization.n.04
distribution.n.03,dispensation.n.03
distribution.n.03,allotment.n.02
distribution.n.03,assignment.n.03
entry.n.03,credit.n.03
accounting.n.04,entry.n.03
register.n.03,accounting.n.04
record.n.07,register.n.03
document.n.03,record.n.07
document.n.03,debt_instrument.n.01
accomplishment.n.01,credit.n.04
accomplishment.n.01,attainment.n.01
attainment.n.01,credit.n.06
title.n.03,credit.n.08
subheading.n.01,title.n.03
heading.n.01,subheading.n.01
line.n.05,heading.n.01
text.n.01,line.n.05
text.n.01,draft.n.05
matter.n.06,text.n.01
seat.n.05,capital.n.03
center.n.01,seat.n.05
area.n.01,center.n.01
area.n.01,anchorage.n.04
area.n.01,corner.n.01
area.n.01,corner.n.10
region.n.03,area.n.01
region.n.03,geographical_area.n.01
region.n.03,district.n.01
region.n.03,domain.n.02
location.n.01,region.n.03
location.n.01,region.n.01
location.n.01,space.n.02
location.n.01,point.n.02
character.n.08,capital.n.04
written_symbol.n.01,character.n.08
written_symbol.n.01,mark.n.10
symbol.n.01,written_symbol.n.01
symbol.n.01,pound.n.12
symbol.n.01,mark.n.06
symbol.n.01,dollar.n.04
signal.n.01,symbol.n.01
signal.n.01,visual_signal.n.01
center.n.11,capital.n.05
place.n.02,center.n.11
geographical_area.n.01,place.n.02
geographical_area.n.01,settlement.n.06
geographical_area.n.01,urban_area.n.01
geographical_area.n.01,country.n.04
top.n.01,capital.n.08
region.n.01,top.n.01
region.n.01,county.n.01
region.n.01,radius.n.03
assignment.n.03,allocation.n.03
wind.n.01,crosswind.n.01
wind.n.01,airstream.n.01
wind.n.01,draft.n.02
weather.n.01,wind.n.01
weather.n.01,precipitation.n.03
weather.n.01,atmosphere.n.04
atmospheric_phenomenon.n.01,weather.n.01
atmospheric_phenomenon.n.01,storm.n.01
atmospheric_phenomenon.n.01,atmospheric_electricity.n.01
atmospheric_phenomenon.n.01,cloud.n.02
atmospheric_phenomenon.n.01,aurora.n.02
physical_phenomenon.n.01,atmospheric_phenomenon.n.01
physical_phenomenon.n.01,cloud.n.01
physical_phenomenon.n.01,energy.n.01
physical_phenomenon.n.01,force.n.02
natural_phenomenon.n.01,physical_phenomenon.n.01
natural_phenomenon.n.01,organic_phenomenon.n.01
phenomenon.n.01,natural_phenomenon.n.01
phenomenon.n.01,consequence.n.01
process.n.06,phenomenon.n.01
process.n.06,organic_process.n.01
process.n.06,natural_process.n.01
influence.n.04,wind.n.02
consequence.n.01,influence.n.04
exhalation.n.02,wind.n.03
breath.n.01,exhalation.n.02
bodily_process.n.01,breath.n.01
bodily_process.n.01,sexual_activity.n.01
bodily_process.n.01,sleeping.n.03
organic_process.n.01,bodily_process.n.01
talk.n.01,wind.n.04
conversation.n.01,talk.n.01
speech.n.02,conversation.n.01
auditory_communication.n.01,speech.n.02
auditory_communication.n.01,music.n.01
rotation.n.01,wind.n.08
motion.n.03,rotation.n.01
motion.n.03,straddle.n.03
motion.n.03,snap.n.12
cyclone.n.02,typhoon.n.01
cyclone.n.02,tornado.n.01
cyclone.n.02,hurricane.n.01
windstorm.n.01,cyclone.n.02
storm.n.01,windstorm.n.01
storm.n.01,thunderstorm.n.01
storm.n.01,rainstorm.n.01
plumbing_fixture.n.01,shower.n.01
fixture.n.01,plumbing_fixture.n.01
washup.n.01,shower.n.02
cleaning.n.01,washup.n.01
improvement.n.02,cleaning.n.01
change_of_state.n.01,improvement.n.02
change_of_state.n.01,beginning.n.05
change_of_state.n.01,termination.n.05
wash.n.02,washup.n.01
rain.n.01,shower.n.03
rain.n.01,rainstorm.n.01
rain.n.01,drizzle.n.01
precipitation.n.03,rain.n.01
descent.n.01,shower.n.04
change_of_location.n.01,descent.n.01
movement.n.03,change_of_location.n.01
movement.n.03,bending.n.01
movement.n.03,deflection.n.03
happening.n.01,movement.n.03
happening.n.01,discharge.n.01
happening.n.01,flash.n.01
happening.n.01,beginning.n.01
happening.n.01,wonder.n.02
happening.n.01,trouble.n.03
happening.n.01,periodic_event.n.01
happening.n.01,sound.n.04
happening.n.01,change.n.01
happening.n.01,thing.n.05
party.n.02,shower.n.06
party.n.02,wedding.n.03
party.n.02,dance.n.02
social_gathering.n.01,party.n.02
social_gathering.n.01,company.n.06
social_gathering.n.01,meeting.n.02
gathering.n.01,social_gathering.n.01
gathering.n.01,community.n.01
gathering.n.01,municipality.n.02
gathering.n.01,meeting.n.01
gathering.n.01,crowd.n.01
gathering.n.01,audience.n.01
gathering.n.01,assembly.n.04
atmospheric_electricity.n.01,lightning.n.01
electrical_discharge.n.01,atmospheric_electricity.n.01
discharge.n.01,electrical_discharge.n.01
discharge.n.01,explosion.n.01
flash.n.01,lightning.n.02
aerosol.n.01,fog.n.01
cloud.n.01,aerosol.n.01
atmosphere.n.04,fog.n.02
atmosphere.n.04,cyclone.n.01
unreality.n.02,cloud.n.03
nonexistence.n.01,unreality.n.02
nonbeing.n.01,nonexistence.n.01
gloom.n.03,cloud.n.04
atmosphere.n.01,gloom.n.03
suspicion.n.03,cloud.n.05
hostility.n.02,suspicion.n.03
lenience.n.03,clemency.n.02
tolerance.n.03,lenience.n.03
allowance.n.06,tolerance.n.03
fly.n.04,blast.n.01
hit.n.02,fly.n.04
touch.n.05,hit.n.02
explosion.n.01,blast.n.04
conductor.n.02,silver.n.01
conductor.n.02,semiconductor.n.01
conductor.n.02,copper.n.01
material.n.01,conductor.n.02
material.n.01,builder.n.01
material.n.01,coloring_material.n.01
material.n.01,plant_material.n.01
material.n.01,paper.n.01
gas.n.02,oxygen.n.01
gas.n.02,nitrogen.n.01
gas.n.02,noble_gas.n.01
gas.n.02,hydrogen.n.01
fluid.n.02,gas.n.02
noble_gas.n.01,neon.n.01
noble_gas.n.01,helium.n.01
golf_club.n.02,iron.n.02
golf_equipment.n.01,golf_club.n.02
implement.n.01,iron.n.03
implement.n.01,writing_implement.n.01
implement.n.01,tool.n.01
implement.n.01,stick.n.01
home_appliance.n.01,iron.n.04
appliance.n.02,home_appliance.n.01
durables.n.01,appliance.n.02
consumer_goods.n.01,durables.n.01
commodity.n.01,consumer_goods.n.01
commodity.n.01,future.n.03
semiconductor.n.01,germanium.n.01
penny.n.02,copper.n.02
coin.n.01,penny.n.02
coin.n.01,shilling.n.06
coin.n.01,dollar.n.03
coinage.n.01,coin.n.01
currency.n.01,coinage.n.01
currency.n.01,paper_money.n.01
reddish_brown.n.01,copper.n.04
brown.n.01,reddish_brown.n.01
brown.n.01,chestnut.n.04
chromatic_color.n.01,brown.n.01
chromatic_color.n.01,orange.n.02
chromatic_color.n.01,olive.n.05
color.n.01,chromatic_color.n.01
color.n.01,achromatic_color.n.01
visual_property.n.01,color.n.01
lycaenid.n.01,copper.n.05
butterfly.n.01,lycaenid.n.01
lepidopterous_insect.n.01,butterfly.n.01
insect.n.01,lepidopterous_insect.n.01
arthropod.n.01,insect.n.01
carbon.n.01,charcoal.n.01
fuel.n.01,charcoal.n.01
substance.n.07,fuel.n.01
substance.n.07,food.n.01
substance.n.07,agent.n.03
writing_implement.n.01,charcoal.n.02
gray.n.01,charcoal.n.03
achromatic_color.n.01,gray.n.01
drawing.n.02,charcoal.n.04
drawing.n.02,sketch.n.01
representation.n.02,drawing.n.02
representation.n.02,copy.n.02
creation.n.02,representation.n.02
creation.n.02,needlework.n.01
creation.n.02,art.n.01
creation.n.02,product.n.02
copy.n.02,carbon.n.03
garmentmaker.n.01,tailor.n.01
needleworker.n.01,garmentmaker.n.01
maker.n.01,needleworker.n.01
maker.n.01,manufacturer.n.02
creator.n.02,maker.n.01
creator.n.02,producer.n.02
creator.n.02,artist.n.01
creator.n.02,originator.n.01
creator.n.02,inventor.n.01
creator.n.02,farmer.n.01
creator.n.02,developer.n.01
creator.n.02,craftsman.n.02
creator.n.02,builder.n.02
creator.n.02,architect.n.01
cause.n.01,producer.n.03
origin.n.03,cause.n.01
beginning.n.01,origin.n.03
artist.n.01,photographer.n.01
artist.n.01,painter.n.01
artist.n.01,musician.n.02
skilled_worker.n.01,painter.n.02
skilled_worker.n.01,craftsman.n.03
skilled_worker.n.01,official.n.01
worker.n.01,skilled_worker.n.01
worker.n.01,employee.n.01
line.n.18,painter.n.03
performer.n.01,musician.n.01
entertainer.n.01,performer.n.01
business.n.01,manufacturer.n.01
business.n.01,agency.n.02
enterprise.n.02,business.n.01
organization.n.01,enterprise.n.02
organization.n.01,polity.n.02
organization.n.01,unit.n.03
organization.n.01,party.n.01
organization.n.01,force.n.04
organization.n.01,association.n.01
organization.n.01,institution.n.01
organization.n.01,company.n.04
organization.n.01,nongovernmental_organization.n.01
photographic_equipment.n.01,developer.n.02
planner.n.01,designer.n.04
professional.n.01,craftsman.n.01
contractor.n.03,builder.n.03
party.n.05,contractor.n.03
architect.n.01,town.n.04
community.n.01,village.n.01
community.n.01,parish.n.01
community.n.01,house.n.03
settlement.n.06,village.n.02
municipality.n.01,town.n.01
municipality.n.01,city.n.01
administrative_district.n.01,municipality.n.01
administrative_district.n.01,country.n.02
administrative_district.n.01,state.n.01
administrative_district.n.01,shire.n.01
administrative_district.n.01,prefecture.n.01
administrative_district.n.01,county.n.02
administrative_district.n.01,city.n.02
administrative_district.n.01,canton.n.02
administrative_district.n.01,borough.n.01
administrative_district.n.01,department.n.02
district.n.01,administrative_district.n.01
district.n.01,residential_district.n.01
district.n.01,city_district.n.01
district.n.01,jurisdiction.n.02
district.n.01,borderland.n.01
district.n.01,possession.n.05
urban_area.n.01,municipality.n.01
town.n.02,borough.n.02
municipality.n.02,town.n.02
municipality.n.02,city.n.03
country.n.02,sultanate.n.01
country.n.02,kingdom.n.02
residential_district.n.01,suburb.n.01
government.n.01,state.n.03
polity.n.02,government.n.01
political_unit.n.01,state.n.04
political_unit.n.01,union.n.07
unit.n.03,political_unit.n.01
unit.n.03,military_unit.n.01
unit.n.03,troop.n.03
unit.n.03,team.n.01
unit.n.03,family.n.01
unit.n.03,administrative_unit.n.01
unit.n.03,company.n.09
emotional_state.n.01,state.n.06
emotional_state.n.01,unhappiness.n.02
emotional_state.n.01,happiness.n.01
emotion.n.01,emotional_state.n.01
emotion.n.01,love.n.01
emotion.n.01,joy.n.01
emotion.n.01,fear.n.01
emotion.n.01,fear.n.03
emotion.n.01,anger.n.01
feeling.n.01,emotion.n.01
feeling.n.01,astonishment.n.01
feeling.n.01,shame.n.01
feeling.n.01,sensitivity.n.03
feeling.n.01,sadness.n.01
feeling.n.01,pleasure.n.01
feeling.n.01,passion.n.01
feeling.n.01,desire.n.01
feeling.n.01,pain.n.02
feeling.n.01,happiness.n.02
feeling.n.01,sympathy.n.02
feeling.n.01,glow.n.04
feeling.n.01,calmness.n.03
draft_horse.n.01,shire.n.02
workhorse.n.02,draft_horse.n.01
waterfront.n.01,seafront.n.01
city_district.n.01,waterfront.n.01
position.n.06,prefecture.n.02
position.n.06,caliphate.n.03
occupation.n.01,position.n.06
occupation.n.01,profession.n.02
jurisdiction.n.02,parish.n.02
jurisdiction.n.02,caliphate.n.02
real_property.n.01,land.n.01
property.n.01,real_property.n.01
sphere.n.01,kingdom.n.01
environment.n.01,sphere.n.01
situation.n.01,environment.n.01
situation.n.01,acceptance.n.03
domain.n.02,kingdom.n.03
monarchy.n.01,kingdom.n.04
autocracy.n.01,monarchy.n.01
political_system.n.01,autocracy.n.01
taxonomic_group.n.01,kingdom.n.05
taxonomic_group.n.01,genus.n.02
taxonomic_group.n.01,tribe.n.03
taxonomic_group.n.01,family.n.06
biological_group.n.01,taxonomic_group.n.01
biological_group.n.01,animal_group.n.01
fee.n.01,anchorage.n.02
fee.n.01,poundage.n.02
