parent,child
time_period.n.01,week.n.01
time_period.n.01,week.n.03
time_period.n.01,long_time.n.01
time_period.n.01,fortnight.n.01
time_period.n.01,time_of_life.n.01
time_period.n.01,generation.n.03
time_period.n.01,phase.n.01
time_period.n.01,calendar_month.n.01
time_period.n.01,night.n.01
time_period.n.01,night.n.02
time_period.n.01,night.n.03
time_period.n.01,night.n.07
time_period.n.01,term.n.02
time_period.n.01,semester.n.02
time_period.n.01,evening.n.02
time_period.n.01,evening.n.03
time_period.n.01,duration.n.01
time_period.n.01,time.n.02
time_period.n.01,school.n.05
time_period.n.01,season.n.02
time_period.n.01,drought.n.02
time_period.n.01,watch.n.04
time_period.n.01,window.n.05
time_period.n.01,season.n.03
time_period.n.01,run.n.08
time_period.n.01,dawn.n.03
time_period.n.01,eve.n.03
fundamental_quantity.n.01,time_period.n.01
fundamental_quantity.n.01,length.n.01
fundamental_quantity.n.01,temperature.n.01
fundamental_quantity.n.01,mass.n.01
distance.n.01,hour.n.04
distance.n.01,span.n.02
distance.n.01,elevation.n.05
spacing.n.02,distance.n.01
placement.n.01,spacing.n.02
placement.n.01,composition.n.01
position.n.07,placement.n.01
position.n.07,gradient.n.02
position.n.07,room.n.02
angular_unit.n.01,minute.n.04
angular_unit.n.01,second.n.06
angular_unit.n.01,degree.n.04
unit_of_measurement.n.01,angular_unit.n.01
unit_of_measurement.n.01,temperature_unit.n.01
unit_of_measurement.n.01,linear_unit.n.01
unit_of_measurement.n.01,metric_unit.n.01
unit_of_measurement.n.01,computer_memory_unit.n.01
unit_of_measurement.n.01,area_unit.n.01
unit_of_measurement.n.01,volume_unit.n.01
unit_of_measurement.n.01,mass_unit.n.01
unit_of_measurement.n.01,monetary_unit.n.01
unit_of_measurement.n.01,electromagnetic_unit.n.01
unit_of_measurement.n.01,pressure_unit.n.01
unit_of_measurement.n.01,bit.n.06
unit_of_measurement.n.01,weight_unit.n.02
definite_quantity.n.01,unit_of_measurement.n.01
definite_quantity.n.01,number.n.02
note.n.01,minute.n.05
written_record.n.01,note.n.01
written_record.n.01,translation.n.01
record.n.01,written_record.n.01
record.n.01,history.n.02
record.n.01,file.n.01
evidence.n.02,record.n.01
evidence.n.02,clue.n.02
evidence.n.02,identification.n.02
indication.n.01,evidence.n.02
indication.n.01,mark.n.04
communication.n.02,indication.n.01
communication.n.02,auditory_communication.n.01
communication.n.02,signal.n.01
communication.n.02,written_communication.n.01
communication.n.02,expressive_style.n.01
communication.n.02,message.n.02
communication.n.02,sign.n.02
communication.n.02,document.n.03
